zone, mesure, 00-27-E3-07-B3-51, 00-27-E3-07-B3-52, 00-27-E3-07-B3-53, 00-27-E3-07-B3-54, 00-27-E3-07-B3-55, 00-27-E3-07-B3-56, 00-27-E3-07-B3-57, 00-27-E3-07-B3-58, 00-27-E3-07-B3-59, 00-27-E3-07-B3-5A, 00-27-E3-07-B3-5B, 00-27-E3-07-B3-5C, 00-27-E3-07-B3-5D, 00-27-E3-07-B3-5E, 00-27-E3-07-B4-B5, 00-27-E3-07-B4-B9, 00-27-E3-27-84-A1, 00-27-E3-27-84-A2, 00-27-E3-27-84-A3, 00-27-E3-27-84-A4, 00-27-E3-27-84-A5, 00-27-E3-27-84-A6, 00-27-E3-27-84-A7, 00-27-E3-27-84-A9, 00-27-E3-27-84-AC, 00-27-E3-27-84-AD, 00-A3-8E-C5-76-C1, 00-A3-8E-C5-76-C2, 00-A3-8E-C5-76-C3, 00-A3-8E-C5-76-C4, 00-A3-8E-C5-76-C5, 00-A3-8E-C5-76-C6, 00-A3-8E-C5-76-C7, 00-A3-8E-C5-76-C8, 00-A3-8E-C5-76-C9, 00-A3-8E-C5-76-CA, 00-A3-8E-C5-76-CB, 00-A3-8E-C5-76-CC, 00-A3-8E-C5-76-CD, 00-A3-8E-C5-76-CE, 00-A3-8E-C7-A4-F1, 00-A3-8E-C7-A4-F2, 00-A3-8E-C7-A4-F3, 00-A3-8E-C7-A4-F4, 00-A3-8E-C7-A4-F5, 00-A3-8E-C7-A4-F6, 00-A3-8E-C7-A4-F7, 00-A3-8E-C7-A4-F8, 00-A3-8E-C7-A4-F9, 00-A3-8E-C7-A4-FA, 00-A3-8E-C7-A4-FB, 00-A3-8E-C7-A4-FC, 00-A3-8E-C7-A4-FD, 00-A3-8E-C7-A4-FE, 00-A3-8E-E2-3C-11, 00-A3-8E-E2-3C-12, 00-A3-8E-E2-3C-13, 00-A3-8E-E2-3C-14, 00-A3-8E-E2-3C-15, 00-A3-8E-E2-3C-16, 00-A3-8E-E2-3C-17, 00-A3-8E-E2-3C-18, 00-A3-8E-E2-3C-19, 00-A3-8E-E2-3C-1A, 00-A3-8E-E2-3C-1B, 00-A3-8E-E2-3C-1C, 00-A3-8E-E2-3C-1D, 00-A3-8E-E2-3C-1E, 12-E0-AA-22-15-81, 22-A6-18-A2-97-63, 42-49-0F-4C-8D-63, 5C-5A-C7-29-C5-41, 5C-5A-C7-29-C5-42, 5C-5A-C7-29-C5-43, 5C-5A-C7-29-C5-44, 5C-5A-C7-29-C5-45, 5C-5A-C7-29-C5-46, 5C-5A-C7-29-C5-47, 5C-5A-C7-29-C5-4C, 5C-5A-C7-29-C5-4D, 5C-5A-C7-29-C6-01, 5C-5A-C7-29-C6-02, 5C-5A-C7-29-C6-03, 5C-5A-C7-29-C6-04, 5C-5A-C7-29-C6-05, 5C-5A-C7-29-C6-06, 5C-5A-C7-29-C6-07, 5C-5A-C7-29-C6-0C, 5C-5A-C7-29-C8-C1, 5C-5A-C7-29-C8-C4, 5C-5A-C7-29-C8-C5, 5C-5A-C7-29-C8-CC, 5C-5A-C7-3E-E8-81, 5C-5A-C7-3E-E8-83, 5C-5A-C7-3E-E8-84, 5C-5A-C7-3E-E8-85, 5C-5A-C7-3E-E8-86, 5C-5A-C7-3E-E8-87, 5C-5A-C7-3E-E8-8C, 5C-5A-C7-3E-E8-8D, 5C-5A-C7-44-B2-21, 5C-5A-C7-44-B2-22, 5C-5A-C7-44-B2-23, 5C-5A-C7-44-B2-24, 5C-5A-C7-44-B2-25, 5C-5A-C7-44-B2-26, 5C-5A-C7-44-B2-2C, 5C-5A-C7-44-B2-2D, 5C-5A-C7-5D-E2-A1, 5C-5A-C7-5D-E2-A3, 5C-5A-C7-5D-E2-A4, 5C-5A-C7-5D-E2-A5, 5C-5A-C7-5D-E2-A6, 5C-5A-C7-5D-E2-A7, 5C-5A-C7-5D-E2-AC, 5C-5A-C7-5D-E2-AD, 70-DB-98-EE-25-31, 70-DB-98-EE-25-32, 70-DB-98-EE-25-33, 70-DB-98-EE-25-34, 70-DB-98-EE-25-35, 70-DB-98-EE-25-36, 70-DB-98-EE-25-37, 70-DB-98-EE-25-3C, 70-DB-98-EE-25-3D, 70-DB-98-EE-38-B1, 70-DB-98-EE-38-B2, 70-DB-98-EE-38-B3, 70-DB-98-EE-38-B4, 70-DB-98-EE-38-B5, 70-DB-98-EE-38-B6, 70-DB-98-EE-38-B7, 70-DB-98-EE-38-B8, 70-DB-98-EE-38-B9, 70-DB-98-EE-38-BA, 70-DB-98-EE-38-BB, 70-DB-98-EE-38-BC, 70-DB-98-EE-38-BD, 70-DB-98-EE-38-BE, 88-11-96-E6-FD-FF, 8E-27-C4-2F-73-DC, BE-18-D6-0B-D1-4B, C0-25-5C-A2-BC-11, C0-25-5C-A2-BC-12, C0-25-5C-A2-BC-13, C0-25-5C-A2-BC-14, C0-25-5C-A2-BC-15, C0-25-5C-A2-BC-17, C0-25-5C-A2-BC-1C, C0-25-5C-A2-BC-1D, C6-DE-11-E1-11-12, C8-EA-F8-2A-41-C7, E4-34-93-5A-15-BE, E4-AA-5D-3E-C4-42, E4-AA-5D-3E-C4-43, E4-AA-5D-3E-C4-44, E4-AA-5D-3E-C4-45, E4-AA-5D-3E-C4-47, E4-AA-5D-3E-C4-48, E4-AA-5D-3E-C4-49, E4-AA-5D-3E-C4-4A, E4-AA-5D-3E-C4-4B, E4-AA-5D-3E-C4-4C, E4-AA-5D-3E-C4-4D, E4-AA-5D-3E-C4-4E, E4-AA-5D-FD-25-D1, E4-AA-5D-FD-25-D3, E4-AA-5D-FD-25-D4, E4-AA-5D-FD-25-D5, E4-AA-5D-FD-25-DC, E4-AA-5D-FD-25-DD, E4-AA-EA-74-C2-C3, EA-5B-8A-89-1C-52, F0-99-19-63-CA-E9, F4-BF-80-87-14-3F, F8-6B-D9-01-56-8A, F8-6B-D9-01-56-8E, F8-6B-D9-65-EB-41, F8-6B-D9-65-EB-43, F8-6B-D9-65-EB-44, F8-6B-D9-65-EB-45, F8-6B-D9-65-EB-47, F8-6B-D9-65-EB-4C, F8-6B-D9-65-EB-4D, FE-F1-E6-B2-C6-85
   0,      0,               -71,               -73,               -66,               -72,               -65,               -72,               -72,               -73,               -83,               -73,               -73,               -71,               -81,               -73,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -83,               NaN,               NaN,               NaN,               -86,               NaN,               -87,               NaN,               -90,               NaN,               NaN,               NaN,               NaN,               NaN,               -74,               -76,               -73,               -74,               -74,               -79,               -74,               -80,               -77,               -75,               -75,               -75,               -79,               -76,               -76,               -78,               -78,               -76,               -75,               -76,               -76,               -83,               NaN,               -79,               -84,               -76,               -76,               -79,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -82,               -83,               -82,               -83,               -83,               -83,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -83,               -85,               -82,               NaN,               -84,               -82,               -84,               NaN,               NaN,               NaN,               -84,               -82,               -83,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -92,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -82,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN
   0,      1,               -71,               -76,               -66,               -76,               -65,               -76,               -72,               -73,               -83,               -77,               -76,               -71,               -81,               -77,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -83,               NaN,               -87,               NaN,               -86,               NaN,               -87,               NaN,               -87,               -86,               -88,               -88,               -86,               -86,               -78,               -78,               -79,               -79,               -80,               -79,               -74,               -79,               -79,               -79,               -78,               -79,               -78,               -78,               -74,               -84,               -75,               -76,               -74,               -74,               -74,               -84,               -84,               -83,               -84,               -73,               -83,               -79,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -82,               -83,               -82,               -83,               -83,               -83,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -81,               -82,               -82,               -82,               -83,               -82,               -82,               NaN,               NaN,               -87,               -88,               -81,               -87,               -87,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -85,               NaN,               NaN,               NaN,               NaN,               NaN,               -92,               NaN,               NaN,               NaN,               NaN,               NaN,               -89,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -82,               NaN,               -87,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN
   0,      2,               -70,               -70,               -72,               -71,               -71,               -71,               -71,               -73,               -83,               -71,               -70,               -71,               -81,               -71,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -83,               -88,               -88,               NaN,               -86,               NaN,               -87,               NaN,               -89,               -87,               -89,               -88,               -88,               -88,               -71,               -74,               -73,               -70,               -72,               -71,               -72,               -75,               -75,               -76,               -75,               -73,               -76,               -75,               -75,               -79,               -75,               -75,               -75,               -74,               -74,               -79,               -79,               -79,               -79,               -75,               -79,               -78,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -82,               -83,               -82,               -83,               -83,               -83,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -80,               -84,               -78,               -80,               -79,               -82,               -82,               -84,               -85,               -83,               -85,               -81,               -85,               -84,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -85,               NaN,               NaN,               NaN,               NaN,               NaN,               -92,               NaN,               NaN,               NaN,               NaN,               NaN,               -89,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -82,               NaN,               -87,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN
   0,      3,               -81,               -70,               -81,               -80,               -81,               -71,               -71,               -73,               -83,               -71,               -70,               -81,               -81,               -71,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -83,               -88,               -88,               NaN,               -86,               NaN,               -87,               -87,               -87,               -87,               -89,               -88,               -87,               -86,               -76,               -77,               -77,               -77,               -76,               -71,               -72,               -78,               -77,               -77,               -77,               -73,               -77,               -77,               -73,               -79,               -74,               -74,               -74,               -74,               -74,               -79,               -79,               -79,               -79,               -74,               -79,               -78,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -82,               -83,               -82,               -83,               -83,               -83,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -80,               -91,               -78,               -80,               -79,               -82,               -82,               -84,               -85,               -83,               -85,               -81,               -85,               -84,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -85,               NaN,               NaN,               NaN,               NaN,               NaN,               -92,               NaN,               NaN,               NaN,               NaN,               NaN,               -89,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -82,               NaN,               -87,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN
   0,      4,               -69,               -70,               -70,               -69,               -70,               -71,               -71,               -73,               -83,               -70,               -70,               -69,               -81,               -69,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -83,               -89,               -88,               NaN,               -86,               NaN,               -87,               -87,               -87,               -87,               -90,               -88,               -89,               -90,               -73,               -74,               -73,               -74,               -73,               -73,               -72,               -75,               -75,               -75,               -75,               -72,               -76,               -74,               -74,               -82,               -74,               -73,               -74,               -73,               -73,               -81,               -81,               -81,               -81,               -73,               -81,               -78,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -82,               -83,               -82,               -83,               -83,               -83,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -83,               -88,               -83,               -83,               -83,               -82,               -83,               -89,               -89,               -88,               -90,               -82,               -85,               -84,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -85,               NaN,               NaN,               NaN,               NaN,               NaN,               -92,               NaN,               NaN,               NaN,               NaN,               NaN,               -89,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -82,               NaN,               -87,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN
   0,      5,               -69,               -74,               -71,               -69,               -70,               -71,               -70,               -73,               -83,               -74,               -74,               -71,               -81,               -74,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -83,               -89,               -88,               NaN,               -86,               NaN,               -87,               -87,               -87,               -87,               -90,               -88,               -89,               -90,               -70,               -78,               -71,               -72,               -70,               -73,               -72,               -78,               -77,               -78,               -78,               -70,               -78,               -77,               -75,               -79,               -76,               -76,               -74,               -78,               -76,               -79,               -79,               -78,               -79,               -75,               -81,               -79,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -82,               -83,               -82,               -83,               -83,               -83,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -77,               -88,               -83,               -78,               -78,               -82,               -78,               -88,               -87,               -87,               -87,               -78,               -87,               -89,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -85,               NaN,               NaN,               NaN,               NaN,               NaN,               -92,               NaN,               NaN,               NaN,               NaN,               NaN,               -89,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -82,               NaN,               -87,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN
   0,      6,               -70,               -75,               -72,               -71,               -70,               -71,               -70,               -76,               -83,               -75,               -75,               -71,               -81,               -74,               NaN,               NaN,               -83,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -83,               -89,               -88,               NaN,               -86,               NaN,               -87,               -87,               -87,               -87,               -90,               -88,               -89,               -90,               -70,               -76,               -71,               -72,               -70,               -73,               -72,               -76,               -77,               -76,               -77,               -70,               -77,               -76,               -70,               -80,               -72,               -70,               -73,               -72,               -70,               -81,               -80,               -80,               -80,               -70,               -80,               -80,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -82,               -84,               -83,               -83,               -83,               -81,               -83,               -83,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -74,               -88,               -75,               -74,               -75,               -76,               -78,               -87,               -87,               -89,               -89,               -75,               -89,               -87,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -89,               -85,               NaN,               NaN,               NaN,               NaN,               NaN,               -92,               NaN,               NaN,               NaN,               NaN,               NaN,               -89,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -82,               NaN,               -87,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN
   0,      7,               -69,               -71,               -70,               -69,               -69,               -70,               -70,               -76,               -71,               -72,               -72,               -68,               -81,               -71,               NaN,               NaN,               -83,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -83,               -90,               -90,               NaN,               -86,               NaN,               -87,               -88,               -87,               -87,               -90,               -88,               -89,               -90,               -73,               -78,               -73,               -73,               -73,               -73,               -72,               -78,               -79,               -80,               -78,               -73,               -78,               -79,               -77,               -81,               -79,               -76,               -77,               -77,               -76,               -81,               -81,               -80,               -80,               -76,               -80,               -80,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -82,               -84,               -83,               -83,               -83,               -81,               -83,               -83,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -72,               -85,               -73,               -73,               -72,               -76,               -73,               -87,               -85,               -87,               -85,               -73,               -86,               -86,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -89,               -85,               NaN,               NaN,               NaN,               NaN,               NaN,               -92,               NaN,               NaN,               NaN,               NaN,               NaN,               -89,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -82,               NaN,               -87,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN
   0,      8,               -70,               -74,               -72,               -70,               -69,               -70,               -70,               -76,               -71,               -74,               -74,               -69,               -75,               -73,               NaN,               NaN,               -83,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -83,               -90,               -90,               NaN,               -86,               NaN,               -87,               -90,               -87,               -89,               -90,               -89,               -89,               -90,               -73,               -78,               -73,               -73,               -73,               -73,               -72,               -78,               -79,               -77,               -77,               -73,               -77,               -78,               -69,               -80,               -70,               -69,               -71,               -69,               -76,               -81,               -80,               -80,               -80,               -69,               -81,               -80,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -82,               -84,               -83,               -83,               -83,               -83,               -83,               -83,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -71,               -82,               -73,               -71,               -73,               -72,               -72,               -82,               -83,               -82,               -85,               -73,               -82,               -82,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -89,               -85,               NaN,               NaN,               NaN,               NaN,               NaN,               -92,               NaN,               NaN,               NaN,               NaN,               NaN,               -89,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -82,               NaN,               -87,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN
   0,      9,               -68,               -71,               -68,               -67,               -67,               -70,               -69,               -76,               -71,               -71,               -72,               -68,               -75,               -72,               NaN,               NaN,               -83,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -83,               -90,               -90,               NaN,               -86,               NaN,               -87,               -90,               -87,               -89,               -90,               -89,               -89,               -87,               -71,               -78,               -70,               -72,               -71,               -73,               -72,               -79,               -79,               -79,               -79,               -72,               -79,               -79,               -80,               -79,               -80,               -80,               -71,               -80,               -76,               -80,               -79,               -79,               -79,               -80,               -78,               -78,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -82,               -84,               -83,               -83,               -83,               -83,               -83,               -83,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -73,               -82,               -73,               -75,               -73,               -75,               -74,               -91,               -88,               -82,               -85,               -74,               -82,               -91,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -89,               -85,               NaN,               NaN,               NaN,               NaN,               NaN,               -92,               NaN,               NaN,               NaN,               NaN,               NaN,               -89,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -82,               NaN,               -87,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN
