zone, mesure, 00-27-E3-07-B3-51, 00-27-E3-07-B3-52, 00-27-E3-07-B3-53, 00-27-E3-07-B3-54, 00-27-E3-07-B3-55, 00-27-E3-07-B3-56, 00-27-E3-07-B3-57, 00-27-E3-07-B3-58, 00-27-E3-07-B3-59, 00-27-E3-07-B3-5A, 00-27-E3-07-B3-5B, 00-27-E3-07-B3-5C, 00-27-E3-07-B3-5D, 00-27-E3-07-B3-5E, 00-27-E3-27-84-A1, 00-27-E3-27-84-A3, 00-27-E3-27-84-A4, 00-27-E3-27-84-A5, 00-27-E3-27-84-AC, 00-A3-8E-C5-76-C2, 00-A3-8E-C5-76-C3, 00-A3-8E-C5-76-C6, 00-A3-8E-C7-A4-F1, 00-A3-8E-C7-A4-F2, 00-A3-8E-C7-A4-F3, 00-A3-8E-C7-A4-F4, 00-A3-8E-C7-A4-F5, 00-A3-8E-C7-A4-F6, 00-A3-8E-C7-A4-F7, 00-A3-8E-C7-A4-F8, 00-A3-8E-C7-A4-F9, 00-A3-8E-C7-A4-FA, 00-A3-8E-C7-A4-FB, 00-A3-8E-C7-A4-FC, 00-A3-8E-C7-A4-FD, 00-A3-8E-C7-A4-FE, 00-A3-8E-E2-3C-11, 00-A3-8E-E2-3C-12, 00-A3-8E-E2-3C-13, 00-A3-8E-E2-3C-14, 00-A3-8E-E2-3C-15, 00-A3-8E-E2-3C-16, 00-A3-8E-E2-3C-17, 00-A3-8E-E2-3C-18, 00-A3-8E-E2-3C-19, 00-A3-8E-E2-3C-1A, 00-A3-8E-E2-3C-1B, 00-A3-8E-E2-3C-1C, 00-A3-8E-E2-3C-1D, 00-A3-8E-E2-3C-1E, 0E-06-0B-88-40-8F, 24-2E-02-9E-B7-97, 26-96-95-AA-13-39, 5C-5A-C7-29-C5-44, 5C-5A-C7-29-C5-46, 5C-5A-C7-29-C5-47, 5C-5A-C7-29-C8-C2, 5C-5A-C7-29-C8-C3, 5C-5A-C7-29-C8-C4, 5C-5A-C7-29-C8-C5, 5C-5A-C7-29-C8-CC, 5C-5A-C7-5D-E2-A1, 5C-5A-C7-5D-E2-A3, 70-DB-98-EE-25-31, 70-DB-98-EE-25-32, 70-DB-98-EE-25-33, 70-DB-98-EE-25-34, 70-DB-98-EE-25-35, 70-DB-98-EE-25-3C, 70-DB-98-EE-38-B1, 70-DB-98-EE-38-B2, 70-DB-98-EE-38-B3, 70-DB-98-EE-38-B4, 70-DB-98-EE-38-B5, 70-DB-98-EE-38-B6, 70-DB-98-EE-38-B7, 70-DB-98-EE-38-B8, 70-DB-98-EE-38-B9, 70-DB-98-EE-38-BA, 70-DB-98-EE-38-BB, 70-DB-98-EE-38-BC, 70-DB-98-EE-38-BD, 70-DB-98-EE-38-BE, 82-50-82-C6-27-F0, 82-CF-65-15-FB-B8, 9A-D9-86-6E-F0-B4, D6-E6-B7-70-E0-FF, E2-90-5F-A4-41-08, E4-AA-5D-3E-C4-41, E4-AA-5D-3E-C4-42, E4-AA-5D-3E-C4-43, E4-AA-5D-3E-C4-44, E4-AA-5D-3E-C4-45, E4-AA-5D-3E-C4-46, E4-AA-5D-3E-C4-47, E4-AA-5D-3E-C4-4A, E4-AA-5D-3E-C4-4B, E4-AA-5D-3E-C4-4C, E4-AA-5D-3E-C4-4E, E4-AA-EA-74-C2-C3, F8-6B-D9-65-EB-44
   6,      0,               -68,               -68,               -68,               -70,               -67,               -68,               -68,               -61,               NaN,               -62,               -62,               -61,               NaN,               -61,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -60,               -69,               -62,               -61,               -60,               -69,               -61,               -67,               -66,               -66,               -66,               -66,               -67,               -66,               -74,               NaN,               -74,               -75,               -75,               -81,               -83,               -82,               -82,               -84,               -82,               -74,               -83,               -82,               -78,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -84,               -86,               -81,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN
   6,      1,               -66,               -66,               -68,               -66,               -67,               -67,               -67,               -61,               -58,               -59,               -59,               -58,               -59,               -59,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -74,               -69,               -76,               -76,               -74,               -69,               -61,               -68,               -67,               -68,               -68,               -68,               -67,               -67,               -74,               NaN,               -74,               -75,               -75,               -81,               -83,               -80,               -81,               -80,               -82,               -74,               -81,               -80,               -80,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -84,               -86,               -81,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN
   6,      2,               -79,               -66,               -80,               -85,               -79,               -67,               -67,               -61,               -58,               -67,               -67,               -67,               -59,               -68,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -67,               -69,               -76,               -67,               -74,               -67,               -61,               -70,               -70,               -69,               -68,               -70,               -68,               -70,               -79,               -80,               -81,               -80,               -81,               -80,               -83,               -82,               -81,               -81,               -81,               -81,               -82,               -82,               -80,               NaN,               -90,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -84,               -86,               -81,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN
   6,      3,               -72,               -72,               -72,               -73,               -73,               -73,               -67,               -62,               -58,               -63,               -63,               -62,               -59,               -63,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -71,               -69,               -70,               -71,               -70,               -67,               -61,               -71,               -71,               -71,               -71,               -71,               -72,               -71,               -79,               -77,               -81,               -77,               -81,               -80,               -83,               -79,               -79,               -79,               -79,               -81,               -79,               -78,               -73,               NaN,               -90,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -87,               -87,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -84,               -86,               -81,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN
   6,      4,               -71,               -72,               -72,               -71,               -72,               -72,               -72,               -63,               -58,               -64,               -63,               -63,               -59,               -63,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -69,               -69,               -69,               -68,               -68,               -67,               -61,               -67,               -66,               -66,               -66,               -67,               -67,               -66,               -79,               -77,               -81,               -85,               -81,               -85,               -83,               -82,               -83,               -83,               -83,               -81,               -83,               -84,               -75,               NaN,               -90,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -87,               -87,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -86,               -85,               -79,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN
   6,      5,               -62,               -74,               -63,               -63,               -63,               -75,               -63,               -65,               NaN,               -65,               -65,               -63,               -65,               -65,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -65,               NaN,               -66,               -65,               -65,               NaN,               -68,               -72,               -71,               -69,               -71,               -72,               -71,               -72,               -76,               -77,               -76,               -76,               -76,               NaN,               -77,               -79,               -80,               -79,               -79,               -76,               -79,               -79,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -87,               NaN,               -87,               -87,               -87,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN
   6,      6,               -62,               -74,               -69,               -63,               -76,               -75,               -63,               -65,               -60,               -60,               -60,               -63,               -61,               -60,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -66,               NaN,               -66,               -64,               -65,               NaN,               -68,               -73,               -71,               -73,               -72,               -69,               -72,               -72,               -81,               -77,               -79,               -78,               -74,               NaN,               -77,               -80,               -82,               -82,               -79,               -80,               -81,               -80,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -87,               NaN,               -87,               -87,               -87,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -90,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN
   6,      7,               -64,               -74,               -64,               -65,               -64,               -75,               -63,               -65,               -60,               -56,               -56,               -64,               -61,               -57,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -75,               NaN,               -72,               -72,               -72,               -74,               -76,               -72,               -68,               -73,               -69,               -73,               -68,               -71,               -75,               -77,               -79,               -78,               -74,               -77,               -77,               -81,               -82,               -80,               -77,               -80,               -81,               -81,               NaN,               NaN,               -81,               NaN,               NaN,               NaN,               -87,               NaN,               -87,               -87,               -87,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -90,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN
   6,      8,               -64,               -74,               -64,               -65,               -64,               -75,               -63,               -65,               -60,               -58,               -58,               -64,               -61,               -58,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -70,               NaN,               -70,               -69,               -70,               -74,               -69,               -76,               -77,               -75,               -78,               -74,               -77,               -77,               -82,               -77,               -79,               -78,               -81,               -77,               -77,               -82,               -82,               -82,               -83,               -81,               -84,               -82,               NaN,               NaN,               -81,               NaN,               NaN,               NaN,               -87,               NaN,               -87,               -87,               -87,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -87,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN
   6,      9,               -53,               -74,               -53,               -53,               -53,               -75,               -63,               -54,               -60,               -55,               -54,               -53,               -61,               -54,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -72,               NaN,               -73,               -73,               -72,               -74,               -69,               -79,               -79,               -78,               -77,               -79,               -76,               -78,               -80,               -78,               -80,               -80,               -79,               -78,               -77,               -82,               -81,               -82,               -82,               -78,               -81,               -83,               NaN,               NaN,               -81,               NaN,               NaN,               NaN,               -87,               NaN,               -87,               -87,               -87,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               -87,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN,               NaN
